상품명,이미지_URL,가격
과일 도시락,https://img.freepik.com/premium-photo/high-angle-view-dessert-table_1048944-29447743.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,3500
샌드위치,https://img.freepik.com/free-vector/sandwich-isolated-white-half_1308-32237.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,2500
생수,https://previews.123rf.com/images/kikuogawa/kikuogawa2007/kikuogawa200700127/151176113-illustration-of-bottled-mineral-water-mineral-water.jpg,1000
오렌지 주스,https://img.freepik.com/free-photo/fresh-orange-smoothie-poured-glasses_23-2148545413.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,1500
모자,https://item.elandrs.com/r/image/item/2023-07-21/a59bfa71-0ea6-4302-87d0-2377a25ffcc8.jpg?w=750&h=&q=100,3000
우산,https://www.logoyogo.com/web/wp-content/uploads/edd/2023/07/logoyogo-1-2.jpg,3500
양말,https://img.freepik.com/free-vector/sock-multicolor-accessory_24877-82350.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,1000
손세정제,https://cdn.crowdpic.net/detail-thumb/thumb_d_9D8A75773FC269FB99EEED01991DB5A2.jpeg,1500
비누,https://img.freepik.com/free-vector/sticker-design-with-bar-soap-isolated_1308-63760.jpg?semt=ais_hybrid&w=740,1000
쓰레기봉지,https://m.officeplus.com/images/prdimg/I/IS/IS3/IS3675_ma.jpg,500
비상약세트,https://img.freepik.com/free-vector/isometric-gastroenterology-composition-with-view-medication-with-tubes-pills-illustration_1284-63536.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,3000
노트,https://m.dansoon.co.kr/web/product/big/201811/2fb6bd67b02fe7c1963292340af0d6fa.jpg,1000
연필,https://img.freepik.com/free-vector/pencil-round-smooth-style_78370-7571.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,500
닌텐도 스위치,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQimz6exkgJ97YuzClj8Nim9SLiruXpsx0jaQ&s,300000
BTS 포토카드,https://img1.tmon.kr/cdn4/deals/2023/01/06/10443666094/10443666094_front_727ee7e6bc.jpg,4000
슬라임 세트,https://img.freepik.com/premium-photo/green-slime-toy-woman-hand-isolated-white-top-view_188078-15920.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,3000
헤드폰,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVaT26K2euiQKjledsaxNu3U6ahwJ3eTy5Lg&s,20000
보드게임,https://img.freepik.com/free-vector/hand-drawn-board-games-element_23-2151071910.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,15000
만년필,https://media.istockphoto.com/id/1094558116/ko/%EB%B2%A1%ED%84%B0/%EC%9B%B9-%EC%95%A0%ED%94%8C-%EB%A6%AC-%EC%BC%80%EC%9D%B4-%EC%85%98-%EB%94%94%EC%9E%90%EC%9D%B8-%EB%B2%A1%ED%84%B0-%EC%9D%BC%EB%9F%AC%EC%8A%A4%ED%8A%B8-%EB%A0%88%EC%9D%B4-%EC%85%98%EC%97%90-%EB%8C%80-%ED%95%9C-%ED%9D%B0%EC%83%89-%EC%A0%88%EC%97%B0-%EB%9D%BC%EC%9D%B8-%EB%B8%94%EB%9E%99-%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4-%EB%A7%8C%EB%85%84%ED%95%84.jpg?s=612x612&w=0&k=20&c=bPx7b1497-Ti-5055J9CQ-E-tK81D4PqYFgWTiZC7wY=,5000
필통 (고급형),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGj3iVosWCDxd6pWNR52FyPsWi9VSXOvKaKQ&s,5000
애니메이션 인형,https://sitem.ssgcdn.com/17/36/76/item/1000044763617_i1_750.jpg,8000
포켓몬 카드,https://resources.vortexgaming.io/upload/post/2024/11/01/c83f0d2afaa84a7b982ed2e45d1682d5.png,3000
DIY 향수 만들기 키트,https://i.ytimg.com/vi/jQt4NJ84kkM/maxresdefault.jpg,4000
일회용 수저세트(5개),https://sitem.ssgcdn.com/92/54/14/item/1000056145492_i1_750.jpg,500
재사용 수저세트,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/679a/0d064f3ec7a3569ae501264e1b4f8f27dfd37bf6a5dad8377b55529966b1.jpg,2000
썬크림 SPF 30+,https://mcgrocer.com/cdn/shop/files/nivea-sun-sun-cream-lotion-spf30-water-resistant-travel-size-100ml-41391352283374.jpg?v=1744443736,3000
썬크림 SPF 50+++,https://cdn.011st.com/11dims/resize/2000x2000/quality/75/11src/product/1065481169/B.jpg?924372127,7000
물병 (다회용),https://img.danawa.com/prod_img/500000/452/449/img/19449452_1.jpg?_v=20231121154047&shrink=360:360,5000
컵라면,https://img.freepik.com/premium-psd/cup-instant-ramen-with-green-onions_787500-55485.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,1000
모기 기피제,https://img.freepik.com/premium-photo/man-applies-insect-repellent-his-sons-hand-park-closeup-prevention-bites_472916-50499.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,3000
과자,https://img.freepik.com/free-photo/crackers-biscuits_1339-1032.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,1000
탄산음료(콜라),https://img.freepik.com/premium-photo/red-aluminum-cans-with-water-droplets-white-background_167862-6023.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,1500
케이크,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTF19OGL1O_Ky9P0hTPDxGxyVpvssPD1642jA&s,20000
조각 케이크,https://lucycato.co.kr/pds/space/125_1?1651652964,5000
생일초,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSG6PyRclVULM2jfcOCjWbC-PHTpgSwJOik0A&s,1000
파티풍선 세트,https://sitem.ssgcdn.com/92/06/56/item/1000553560692_i1_332.jpg,4000
